Date,Open,High,Low,Close,Volume,Adj Close
2016-07-25,93.470001,93.620003,91.760002,92.199997,10845900,91.420404
2016-07-22,94.110001,94.290001,93.720001,94.010002,7139700,93.215105
2016-07-21,93.889999,94.260002,93.459999,93.849998,6854600,93.056454
2016-07-20,94.25,94.419998,93.800003,93.93,7383800,93.135779
2016-07-19,94.760002,94.940002,94.199997,94.470001,5901800,93.671214
2016-07-18,94.919998,95.150002,94.400002,94.82,9865900,94.018253
2016-07-15,95.440002,95.550003,94.639999,95.120003,10334500,94.31572
2016-07-14,95.050003,95.529999,94.620003,94.949997,9293500,94.147151
2016-07-13,94.650002,94.919998,94.110001,94.879997,9458200,94.077744
2016-07-12,94.669998,94.949997,94.089996,94.949997,9870800,94.147151
2016-07-11,93.75,94.410004,93.650002,93.889999,8335700,93.096117
2016-07-08,93.389999,93.779999,92.919998,93.540001,9807600,92.749078
2016-07-07,94.339996,94.489998,92.349998,92.959999,12240700,92.17398
2016-07-06,93.349998,94.120003,92.440002,94.089996,13144400,93.294423
2016-07-05,93.120003,93.599998,92.25,93.019997,10744100,92.23347
2016-07-01,93.360001,93.980003,93.07,93.839996,9946300,93.046536
2016-06-30,92.330002,93.830002,92.300003,93.739998,14073700,92.947384
2016-06-29,91.410004,92.699997,91.120003,92.459999,13920600,91.678208
2016-06-28,89.730003,90.93,89.519997,90.910004,13254300,90.141318
2016-06-27,88.900002,89.099998,88.110001,88.860001,14169400,88.108649
2016-06-24,89.879997,90.800003,89.150002,89.389999,20010500,88.634166
2016-06-23,91.93,92.07,91.190002,91.800003,9464500,91.023792
2016-06-22,91.839996,91.93,91.010002,91.169998,8785400,90.399114
2016-06-21,90.720001,91.639999,90.25,91.529999,8557500,90.756071
2016-06-20,91.290001,91.589996,91.07,91.120003,9388500,90.349542
2016-06-17,91.489998,91.589996,90.190002,90.720001,17483200,89.952922
2016-06-16,89.699997,91.389999,89.110001,91.220001,12824800,90.448695
2016-06-15,90.230003,90.900002,90.00,90.160004,10655800,89.39766
2016-06-14,90.449997,90.870003,89.849998,90.43,10161000,89.665373
2016-06-13,89.919998,91.43,89.699997,90.589996,11370000,89.824017
2016-06-10,90.400002,90.919998,89.779999,89.980003,10353800,89.219181
2016-06-09,90.18,91.029999,90.110001,90.669998,8974300,89.903342
2016-06-08,91.029999,91.300003,90.529999,90.790001,9983000,90.02233
2016-06-07,89.75,90.919998,89.709999,90.709999,12889100,89.943005
2016-06-06,88.870003,89.50,88.690002,89.339996,8573000,88.584586
2016-06-03,88.440002,88.830002,88.029999,88.370003,9367100,87.622794
2016-06-02,88.209999,88.529999,87.610001,88.529999,9837500,87.781437
2016-06-01,88.43,89.449997,88.129997,89.239998,7994800,88.485433
2016-05-31,90.00,90.199997,88.730003,89.019997,13178800,88.267292
2016-05-27,89.400002,90.050003,89.32,90.010002,7505900,89.248927
2016-05-26,90.25,90.459999,89.269997,89.800003,7867900,89.040703
2016-05-25,89.849998,90.370003,89.589996,90.260002,9578400,89.496813
2016-05-24,89.889999,90.400002,89.550003,89.669998,10056600,88.911798
2016-05-23,89.00,89.900002,88.82,89.599998,11766100,88.84239
2016-05-20,90.389999,90.400002,89.379997,89.739998,13191900,88.981205
2016-05-19,88.610001,90.160004,88.449997,90.110001,14397900,89.34808
2016-05-18,89.800003,90.00,88.650002,89.349998,9680300,88.594504
2016-05-17,89.269997,89.910004,89.160004,89.529999,9835600,88.772982
2016-05-16,89.199997,89.669998,89.00,89.57,8638700,88.812645
2016-05-13,89.279999,89.660004,88.510002,88.660004,9721100,87.910343
2016-05-12,89.800003,89.93,89.150002,89.669998,10720500,88.911798
2016-05-11,89.160004,89.68,88.720001,88.809998,11660200,88.059069
2016-05-10,88.900002,90.00,88.82,89.989998,12509100,88.48543
2016-05-09,88.599998,88.760002,87.230003,88.57,11159500,87.089173
2016-05-06,87.459999,88.68,87.459999,88.510002,7968400,87.030178
2016-05-05,88.760002,88.970001,87.620003,88.040001,8721100,86.568035
2016-05-04,88.300003,88.739998,87.599998,87.940002,10601100,86.469709
2016-05-03,88.400002,88.629997,87.360001,88.110001,10137400,86.636865
